emp_no,first_name,last_name,title,from_date
10001,Georgi,Facello,Senior Engineer,1986-06-26
10004,Chirstian,Koblick,Senior Engineer,1995-12-01
10009,Sumant,Peac,Senior Engineer,1995-02-18
10018,Kazuhide,Peha,Senior Engineer,1995-04-03
10035,Alain,Chappelet,Senior Engineer,1996-09-05
10053,Sanjiv,Zschoche,Senior Staff,1994-11-13
10058,Berhard,McFarlin,Senior Staff,1988-04-25
10066,Kwee,Schusler,Senior Engineer,1998-02-25
10067,Claudi,Stavenow,Senior Engineer,1996-03-03
10070,Reuven,Garigliano,Technique Leader,1985-10-14
10072,Hironoby,Sidou,Senior Engineer,1995-05-21
10076,Erez,Ritzmann,Senior Engineer,1996-07-15
10088,Jungsoon,Syrzycki,Senior Staff,1993-09-02
10100,Hironobu,Haraldson,Senior Staff,1994-09-21
10103,Akemi,Birch,Engineer,1998-01-12
10108,Lunjin,Giveon,Staff,1999-03-20
10116,Dayanand,Czap,Senior Engineer,1994-02-27
10126,Kayoko,Valtorta,Senior Staff,1991-09-08
10129,Armond,Peir,Technique Leader,1996-01-16
10130,Nishit,Casperson,Senior Engineer,1988-06-21
10134,Diederik,Siprelle,Senior Engineer,1994-12-12
10138,Perry,Shimshoni,Senior Engineer,2001-03-03
10149,Xiadong,Perry,Staff,1994-01-28
10150,Zhenbing,Perng,Senior Engineer,1995-11-16
10152,Jaques,Munro,Engineer,1986-01-27
10153,Heekeun,Majewski,Assistant Engineer,2000-01-08
10157,Nigel,Aloisi,Senior Engineer,1997-12-10
10161,Hairong,Mellouli,Engineer,1991-06-09
10186,Shigehito,Kropatsch,Staff,1996-12-25
10198,Pranav,Furedi,Senior Engineer,1993-08-31
10215,Xiaobin,Duclos,Senior Staff,1991-11-23
10217,Yongmin,Roison,Technique Leader,1986-05-12
10224,Leon,Trogemann,Senior Engineer,1996-01-09
10229,Ulises,Takanami,Engineer,1996-02-20
10233,Lein,Vendrig,Senior Staff,2000-04-28
10258,Basil,Ishibashi,Senior Engineer,1997-05-16
10272,Yishai,Cannane,Staff,1997-10-23
10282,Hercules,Benzmuller,Engineer,2001-05-02
10283,Kauko,Birjandi,Senior Engineer,1995-05-26
10286,Saddek,Gopalakrishnan,Staff,1994-12-24
10302,Faiza,Baer,Senior Staff,1994-07-22
10305,Hirochika,Piancastelli,Engineer,1988-10-31
10326,Masali,Czap,Staff,1998-09-02
10327,Roded,Facello,Engineer,1987-09-18
10340,Djelloul,Laventhal,Senior Staff,1993-03-30
10347,Pradeep,Kaminger,Staff,1998-02-20
10355,Satyanarayana,Cochrane,Staff,1996-01-26
10356,Vasilis,Standera,Senior Staff,1995-06-26
10363,Toshiki,Muniz,Assistant Engineer,1985-09-11
10364,Nakhoon,Dengi,Senior Engineer,1985-11-14
10372,Anneli,Frijda,Technique Leader,1985-07-30
10387,Parto,Wrigley,Senior Staff,1999-01-07
10395,Takahiro,Deverell,Engineer,1998-08-10
10396,Sibyl,Rahier,Senior Engineer,1986-01-11
10402,Volkmar,Ebeling,Technique Leader,1987-01-02
10404,Prodip,Rosti,Senior Engineer,1996-08-28
10426,Arunas,Luce,Technique Leader,1985-07-06
10429,Martien,Improta,Senior Engineer,1988-09-23
10432,Hisao,Tiemann,Senior Staff,1996-08-12
10442,Volkmar,Unno,Senior Staff,1999-02-12
10451,Bodh,Ranta,Senior Engineer,1998-03-12
10453,Tsvetan,Matzel,Senior Staff,1993-04-02
10463,Ung,Zaiane,Staff,1994-02-17
10466,Jiakeng,Himler,Staff,1997-08-22
10486,Amstein,Kossowski,Senior Engineer,1996-10-07
10494,Yakkov,Servieres,Senior Engineer,2000-12-17
10504,Xiong,Varker,Staff,1999-10-19
10512,Udi,Gihr,Senior Staff,1998-11-28
10519,Yonghoan,Alencar,Senior Staff,2000-12-05
10522,Marke,Cesareni,Senior Staff,1995-12-12
10538,Przemyslawa,Falby,Senior Engineer,1987-07-23
10541,Godehard,Eiter,Staff,1986-02-28
10548,Ramalingam,Gunderson,Senior Staff,1993-07-04
10564,Jianhao,Thisen,Senior Engineer,2000-11-22
10575,Theirry,Yeung,Senior Engineer,1988-10-04
10591,Hidde,Hettesheimer,Staff,1987-06-18
10608,Adhemar,Talmor,Senior Engineer,1986-05-25
10617,Hidekazu,Angel,Senior Staff,1991-10-30
10623,Aleksander,Danlos,Senior Engineer,1999-01-15
10628,Krisda,Krogh,Senior Engineer,2001-03-14
10629,Lalit,Francisci,Staff,1999-10-20
10631,Inderjeet,Chaudhuri,Engineer,1994-10-18
10642,Hirochika,Narlikar,Engineer,1998-10-05
10653,Otmar,Feinberg,Senior Engineer,1987-04-30
10671,Parviz,Rebaine,Senior Staff,2001-09-13
10672,Bluma,Zeilberger,Senior Engineer,1991-09-29
10676,Valeri,Danley,Engineer,1999-09-04
10693,Berhard,Daescu,Senior Staff,1991-01-08
10694,Rildo,Straney,Senior Staff,1993-01-25
10702,Bader,Szemeredi,Senior Engineer,1991-01-14
10718,Adib,Rullman,Senior Engineer,1997-07-21
10726,Zita,Minakawa,Senior Engineer,2001-02-24
10731,Fumitaka,Peak,Senior Staff,1994-02-20
10734,Sachar,Erdi,Engineer,1995-12-19
10745,Poorav,Ranze,Senior Engineer,1997-01-22
10749,King,Brendel,Senior Engineer,1990-09-26
10751,Jordanka,Ushiama,Engineer,1999-12-14
10767,Monique,Doering,Staff,1997-07-15
10768,Ishfaq,Candan,Senior Engineer,1990-07-04
10777,Mizuhito,Kemmerer,Senior Engineer,1996-03-16
10778,Selwyn,Merey,Senior Staff,1986-07-04
10791,Tadahiko,Sgarro,Senior Engineer,1995-07-31
10795,Supot,Naudin,Senior Staff,1999-05-03
10803,Katsuyuki,Velasco,Senior Engineer,1997-04-20
